"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.463887500E2,6.501179644E1,2.550068534E1,1.640913914E1,1.492540764E0,7.837490702E1,1.311238681E1,1.650541584E1
1.473887452E2,6.501179673E1,2.550071768E1,1.619688558E1,1.517065958E0,8.080663166E1,1.284264049E1,1.681346714E1
1.483887404E2,6.501179632E1,2.550075788E1,1.623964148E1,1.562986748E0,8.508857111E1,1.284264042E1,1.712707230E1
1.493887361E2,6.501180241E1,2.550079163E1,1.615215300E1,1.490804359E0,7.373538506E1,1.292660218E1,1.692500486E1
1.503887326E2,6.501180326E1,2.550082942E1,1.652677853E1,1.485942324E0,8.212222190E1,1.266671096E1,1.682677975E1
1.513887274E2,6.501181082E1,2.550085844E1,1.682632790E1,1.441174201E0,7.250835643E1,1.253707536E1,1.697991533E1
1.523887230E2,6.501181772E1,2.550088339E1,1.685531050E1,1.488373532E0,6.197062729E1,1.255187970E1,1.692401958E1
1.533887193E2,6.501182667E1,2.550090156E1,1.678946340E1,1.324763148E0,5.292123144E1,1.245068758E1,1.669775936E1
1.543887142E2,6.501183615E1,2.550091865E1,1.680740608E1,1.155642930E0,5.213647166E1,1.250310096E1,1.647086149E1
1.553887104E2,6.501185008E1,2.550093053E1,1.670941382E1,1.298647438E0,3.519349796E1,1.250310093E1,1.610837707E1
1.563887057E2,6.501186477E1,2.550094370E1,1.686706374E1,1.440976400E0,3.436744986E1,1.243299283E1,1.532828672E1
1.573887013E2,6.501187408E1,2.550096435E1,1.689755870E1,1.440465107E0,3.699848707E1,1.229085495E1,1.603001701E1
1.583886973E2,6.501188534E1,2.550097817E1,1.700210323E1,1.327154356E0,3.115691111E1,1.211261969E1,1.518730319E1
1.593886927E2,6.501189755E1,2.550099926E1,1.690345383E1,1.472103128E0,3.186180765E1,1.199233581E1,1.472757623E1
1.603886889E2,6.501191140E1,2.550102656E1,1.677821400E1,1.487211786E0,3.391924219E1,1.193203334E1,1.479717487E1
1.613886843E2,6.501192597E1,2.550104193E1,1.701720563E1,1.578617116E0,2.910678794E1,1.180371306E1,1.431740599E1
1.623886797E2,6.501193742E1,2.550105375E1,1.716968656E1,1.287165000E0,2.754160414E1,1.181283977E1,1.510607976E1
1.633886752E2,6.501195114E1,2.550107391E1,1.733173076E1,1.481825201E0,3.154084745E1,1.181283981E1,1.492640903E1
1.643886714E2,6.501196266E1,2.550108637E1,1.707223795E1,1.443477086E0,2.979582792E1,1.181283974E1,1.525170119E1
1.653886673E2,6.501197511E1,2.550110580E1,1.719686909E1,1.409597781E0,3.218174826E1,1.170521508E1,1.481381301E1
1.663886626E2,6.501198644E1,2.550112510E1,1.746407153E1,1.349578717E0,3.098286234E1,1.164947008E1,1.395741883E1
1.673886582E2,6.501199709E1,2.550114298E1,1.712904135E1,1.505947478E0,3.213351478E1,1.172439864E1,1.393684233E1
1.683886542E2,6.501200941E1,2.550116404E1,1.723707002E1,1.496489169E0,3.483427911E1,1.151786472E1,1.457344362E1
1.693886498E2,6.501202138E1,2.550117882E1,1.746897817E1,1.481902887E0,3.265549034E1,1.141743796E1,1.366856414E1
1.703886451E2,6.501203151E1,2.550119007E1,1.724732263E1,1.246722005E0,3.160632161E1,1.136475441E1,1.362807775E1
1.713886409E2,6.501204284E1,2.550121337E1,1.719718485E1,1.508183521E0,3.345311454E1,1.136475436E1,1.370493382E1
1.723886368E2,6.501205437E1,2.550123464E1,1.717566534E1,1.440626624E0,3.083267837E1,1.136475431E1,1.412968272E1
1.733886327E2,6.501206738E1,2.550125537E1,1.715321871E1,1.450569654E0,3.324526225E1,1.136475429E1,1.406388061E1
1.743886284E2,6.501208070E1,2.550127508E1,1.718163519E1,1.430940825E0,3.204172953E1,1.096497270E1,1.322139597E1
1.753886236E2,6.501209229E1,2.550128469E1,1.712688635E1,1.365889133E0,3.017046385E1,1.092283430E1,1.398615240E1
1.763886194E2,6.501210557E1,2.550129458E1,1.730214462E1,1.471950329E0,2.988479219E1,1.092283436E1,1.374514673E1
1.773886153E2,6.501211860E1,2.550131408E1,1.753278521E1,1.509674944E0,3.238625126E1,1.079062620E1,1.363853572E1
1.783886102E2,6.501212989E1,2.550133079E1,1.729227039E1,1.406467912E0,3.357347957E1,1.079960738E1,1.376101750E1
1.793886065E2,6.501214193E1,2.550135138E1,1.711585075E1,1.375038085E0,3.448676157E1,1.078921929E1,1.347345627E1
1.803886023E2,6.501215488E1,2.550136970E1,1.671799171E1,1.564891708E0,3.250143261E1,1.083036023E1,1.376766683E1
1.813885980E2,6.501216387E1,2.550138790E1,1.667165603E1,1.441562116E0,3.454785730E1,1.064612606E1,1.389478733E1
1.823885934E2,6.501217174E1,2.550140718E1,1.662781024E1,1.395325396E0,3.280831764E1,1.054517900E1,1.372861499E1
1.833885890E2,6.501218358E1,2.550142564E1,1.593274599E1,1.470196748E0,3.674185568E1,1.045545734E1,1.329136964E1
